https://docs.google.com/spreadsheet/ccc?key=0An5phhxDkYDPdFR4eDNFZmNvem5BNUtMdjBXWEhzUlE,,,,,,,,,,,
,implementation and spec,,,,,,documentation,,,,
type,parse,stringify,expand,evaluate,observe,bind,tutorial,grammar,observer semantics,binder semantics,syntax
,,,,,,,,,,,
literal,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
value,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
parameters,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
element,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
component,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
tuple,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
record,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
property,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
get,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
with,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
has,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
if,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,,,,,,,,,,
mapBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
filterBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sortedBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sortedSet,N,N,Y,N,N,X,N,N,N,X,N
sortedSetBlock,N,N,Y,N,N,X,N,N,N,X,N
groupBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
groupMapBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
mapContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
rangeContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
someBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
everyBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
one,Y,Y,Y,Y,Y,X,N,N,N,X,N
only,Y,Y,Y,Y,Y,N,N,N,N,N,N
,,,,,,,,,,,
items,Y,Y,Y,Y,Y,X,Y,Y,Y,X,N
values,Y,Y,Y,Y,Y,X,Y,Y,Y,X,N
keys,Y,Y,Y,Y,Y,X,Y,Y,Y,X,N
,,,,,,,,,,,
enumerate,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
reversed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
flatten,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
view,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
order,N,N,Y,N,N,X,N,N,N,X,N
,,,,,,,,,,,
sum,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
average,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
minBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
maxBlock,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
not,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
neg,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
number,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
add,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
sub,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
mul,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
div,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
mod,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
rem,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
pow,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
root,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
log,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
equals,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
lt,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
le,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
gt,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
ge,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
compare,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
and,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
or,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
startsWith,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
endsWith,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
contains,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
join,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
split,Y,Y,Y,Y,Y,X,Y,Y,Y,X,Y
,,,,,,,,,,,
range(end),Y,Y,?,Y,Y,X,Y,Y,Y,X,Y
"range(start, end)",Y,Y,?,?,?,X,N,Y,N,X,N
,,,,,,,,,,,
toArray,N,N,N,N,N,X,N,N,N,X,N
toObject,N,N,N,N,N,X,N,N,N,X,N
toSet,N,N,N,N,N,X,N,N,N,X,N
toSortedSet,N,N,N,N,N,X,N,N,N,X,N
toDict,N,N,N,N,N,X,N,N,N,X,N
toList,N,N,N,N,N,X,N,N,N,X,N
toMap,N,N,N,N,N,X,N,N,N,X,N
,,,,,,,,,,,
eval,Y,Y,Y,Y,Y,X,N,N,N,N,N